,Code,Exam,Anxiety,Gender,Sleep_quality
101,101,2,82.268,Male,1
39,39,5,83.074,Female,1
90,90,5,92.746,Male,1
38,38,7,81.462,Male,1
36,36,10,79.044,Female,1
63,63,10,82.268,Male,1
81,81,10,83.88,Male,1
91,91,10,84.686,Female,1
74,74,15,84.686,Female,1
7,7,20,81.462,Female,1
30,30,20,89.522,Male,1
41,41,20,82.268,Male,1
64,64,20,81.462,Female,1
76,76,20,77.432,Female,1
94,94,20,87.91,Female,1
46,46,25,70.984,Male,1
56,56,25,71.79,Female,1
29,29,27,73.402,Female,2
25,25,30,71.79,Female,2
34,34,30,82.268,Male,3
89,89,30,84.686,Male,3
97,97,30,84.686,Female,2
51,51,35,93.552,Female,1
96,96,35,86.298,Male,1
1,1,40,86.298,Male,1
5,5,40,89.522,Male,1
10,10,40,82.268,Female,1
48,48,40,67.76,Male,1
61,61,40,93.552,Male,1
65,65,40,82.268,Male,2
66,66,40,91.134,Male,2
102,102,40,79.044,Male,2
11,11,45,79.044,Male,2
42,42,45,78.238,Female,2
54,54,49,84.686,Male,2
9,9,50,69.372,Female,2
14,14,50,75.014,Female,2
19,19,50,91.134,Female,2
45,45,50,75.82,Female,2
47,47,50,97.582,Male,2
50,50,50,73.402,Female,2
53,53,50,53.252,Female,2
59,59,50,62.118,Male,2
69,69,50,72.596,Male,2
103,103,50,91.134,Female,2
68,68,52,86.298,Female,2
8,8,55,75.82,Female,2
99,99,55,70.984,Female,3
20,20,60,64.536,Male,3
26,26,60,81.462,Female,3
33,33,60,43.58,Male,1
43,43,60,72.596,Male,1
70,70,60,63.73,Female,1
72,72,60,71.79,Female,2
2,2,65,88.716,Female,2
57,57,65,82.268,Male,2
73,73,65,57.282,Male,2
86,86,65,67.76,Male,2
6,6,70,60.506,Female,2
13,13,70,70.178,Male,2
16,16,70,95.164,Male,2
44,44,70,74.208,Female,2
60,60,70,68.566,Female,2
67,67,70,91.94,Female,3
82,82,70,84.686,Female,3
84,84,70,87.104,Male,3
85,85,70,83.88,Female,3
93,93,70,73.402,Male,3
98,98,70,75.82,Male,3
22,22,75,77.432,Male,3
27,27,75,63.73,Male,3
28,28,75,27.46,Female,3
31,31,75,89.522,Female,3
55,55,75,89.522,Female,3
87,87,75,95.97,Female,3
100,100,75,78.238,Female,3
3,3,80,70.178,Male,3
4,4,80,61.312,Male,3
21,21,80,80.656,Male,3
35,35,80,79.044,Male,3
49,49,80,75.014,Male,3
52,52,80,58.894,Female,3
58,58,80,69.372,Male,3
62,62,80,84.686,Female,2
71,71,80,63.73,Male,1
77,77,80,82.268,Female,3
80,80,80,87.91,Male,3
12,12,85,80.656,Male,3
23,23,85,65.342,Female,3
37,37,85,37.132,Male,3
40,40,85,50.834,Male,3
75,75,85,84.686,Male,2
88,88,85,62.118,Female,1
95,95,85,71.79,Male,3
24,24,90,0.056,Female,3
32,32,90,75.014,Female,3
92,92,90,83.074,Female,1
15,15,95,34.714,Male,2
17,17,95,75.82,Male,2
18,18,95,79.044,Female,1
78,78,100,10,Male,2
79,79,100,50.834,Female,3
83,83,100,20.206,Female,3
